range,average_time
1,70726.25
100001,69903.7
200001,68705.6
300001,68775.45
400001,69102.2
500001,71197.4
600001,69445.7
700001,68619.6
800001,69584.0
900001,72320.4
1000001,69041.2
1100001,70860.25
1200001,72026.85
1300001,72172.05
1400001,68709.3
1500001,68897.75
1600001,68517.85
1700001,69456.25
1800001,71270.55
1900001,69513.4
2000001,70228.25
2100001,69252.65
2200001,68979.65
2300001,68948.45
2400001,69342.6
2500001,70411.7
2600001,69551.25
2700001,69403.7
2800001,69169.0
2900001,69103.25
3000001,69153.45
3100001,69381.95
3200001,69192.25
3300001,72109.2
3400001,69222.75
3500001,69020.25
3600001,70493.95
3700001,71014.4
3800001,69100.35
3900001,69223.0
4000001,71386.1
4100001,69270.55
4200001,68895.35
4300001,69120.25
4400001,73660.95
4500001,69065.2
4600001,69184.95
4700001,68800.05
4800001,68623.85
4900001,69182.05
5000001,71136.75
5100001,68850.45
5200001,68752.7
5300001,69408.7
5400001,69323.1
5500001,68680.95
5600001,69157.3
5700001,73924.4
5800001,74680.8
5900001,77053.75
6000001,75012.95
6100001,75650.1
6200001,74747.0
6300001,70654.75
6400001,69126.15
6500001,68732.45
6600001,69522.9
6700001,69879.75
6800001,69871.25
6900001,72047.05
7000001,68921.9
7100001,68835.05
7200001,70957.5
7300001,70585.9
7400001,68795.45
7500001,74301.35
7600001,69264.75
7700001,71089.25
7800001,69640.95
7900001,69372.3
8000001,69213.9
8100001,69430.5
8200001,69899.9
8300001,69896.55
8400001,69526.95
8500001,70049.6
8600001,69769.85
8700001,70725.05
8800001,69341.4
8900001,69031.05
9000001,70773.15
9100001,69590.65
9200001,68910.3
9300001,69055.4
9400001,70563.15
9500001,72376.2
9600001,70592.7
9700001,71779.55
9800001,71986.75
9900001,71358.35
