range,average_time (s),average_time (ns)
1,6.64055E-06,6640.55
10001,0.00066140695,661406.95
20001,0.00119571935,1195719.35
30001,0.00195037995,1950379.95
40001,0.0025447866,2544786.6
50001,0.0033365087,3336508.7
60001,0.00367858725,3678587.25
70001,0.00442306735,4423067.35
80001,0.00460675095,4606750.95
90001,0.00548604405,5486044.05
100001,0.00581278545,5812785.45
110001,0.00716851615,7168516.15
120001,0.00725132505,7251325.05
130001,0.008154392,8154392
140001,0.0084447295,8444729.5
150001,0.0090892576,9089257.6
160001,0.00936943325,9369433.25
170001,0.01037005665,10370056.65
180001,0.01068175565,10681755.65
190001,0.01235848685,12358486.85
200001,0.01317756725,13177567.25
210001,0.01315596075,13155960.75
220001,0.0132365664,13236566.4
230001,0.01418199655,14181996.55
240001,0.0143151174,14315117.4
250001,0.0149195571,14919557.1
260001,0.01628816185,16288161.85
270001,0.01849347855,18493478.55
280001,0.0197432412,19743241.2
290001,0.02076263565,20762635.65
300001,0.02168784625,21687846.25
310001,0.02314277715,23142777.15
320001,0.02371134135,23711341.35
330001,0.02305558595,23055585.95
340001,0.02250928085,22509280.85
350001,0.0236214917,23621491.7
360001,0.02385282055,23852820.55
370001,0.02418690375,24186903.75
380001,0.0240229044,24022904.4
390001,0.0256312437,25631243.7
400001,0.0262369167,26236916.7
410001,0.0275245328,27524532.8
420001,0.0283572289,28357228.9
430001,0.02864125005,28641250.05
440001,0.0288322356,28832235.6
450001,0.03100783565,31007835.65
460001,0.03195447635,31954476.35
470001,0.0320433954,32043395.4
480001,0.03086531785,30865317.85
490001,0.0329341653,32934165.3
500001,0.03137314785,31373147.85
510001,0.0314742842,31474284.2
520001,0.0308939947,30893994.7
530001,0.0321906714,32190671.4
540001,0.0319609279,31960927.9
550001,0.0340072887,34007288.7
560001,0.0346191026,34619102.6
570001,0.03802811945,38028119.45
580001,0.03803639925,38036399.25
590001,0.0377969065,37796906.5
600001,0.03839972765,38399727.65
610001,0.0413592541,41359254.1
620001,0.041355427,41355427
630001,0.04530493315,45304933.15
640001,0.0421793308,42179330.8
650001,0.04500361335,45003613.35
660001,0.0462657144,46265714.4
670001,0.0471726589,47172658.9
680001,0.04704291655,47042916.55
690001,0.04620316175,46203161.75
700001,0.04695275395,46952753.95
710001,0.044987512,44987512
720001,0.0476354482,47635448.2
730001,0.0472761675,47276167.5
740001,0.04547576395,45475763.95
750001,0.0458619341,45861934.1
760001,0.04778214595,47782145.95
770001,0.053991575,53991575
780001,0.05309741195,53097411.95
790001,0.0555272496,55527249.6
800001,0.0539252102,53925210.2
810001,0.0571544763,57154476.3
820001,0.0527236207,52723620.7
830001,0.0551126359,55112635.9
840001,0.0540679702,54067970.2
850001,0.05604370395,56043703.95
860001,0.0557872221,55787222.1
870001,0.0572217879,57221787.9
880001,0.06065567105,60655671.05
890001,0.06363350445,63633504.45
900001,0.0642661877,64266187.7
910001,0.0690982968,69098296.8
920001,0.0678380243,67838024.3
930001,0.0672488255,67248825.5
940001,0.0653671073,65367107.3
950001,0.0669986201,66998620.1
960001,0.0666271611,66627161.1
970001,0.0712005004,71200500.4
980001,0.0752777901,75277790.1
990001,0.07105682825,71056828.25
